Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,594918104,MSFT ,"75,237,924","17,738,845,341.48",11.876,Microsoft Corp,Common Stock,Information Technology,01/11/2023
QQQ,037833100,AAPL ,"129,678,009","17,310,717,421.41",11.589,Apple Inc,Common Stock,Information Technology,01/11/2023
QQQ,023135106,AMZN ,"103,395,019","9,831,832,356.71",6.582,Amazon.com Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,02079K107,GOOG ,"61,682,414","5,690,819,515.64",3.810,Alphabet Inc,Common Stock,Communication Services,01/11/2023
QQQ,02079K305,GOOGL ,"61,701,285","5,646,901,603.20",3.781,Alphabet Inc,Common Stock,Communication Services,01/11/2023
QQQ,67066G104,NVDA ,"32,344,803","5,175,491,928.03",3.465,NVIDIA Corp,Common Stock,Information Technology,01/11/2023
QQQ,88160R101,TSLA ,"32,004,233","3,943,561,590.26",2.640,Tesla Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,30303M102,META ,"29,566,212","3,929,053,912.68",2.630,Meta Platforms Inc,Common Stock,Communication Services,01/11/2023
QQQ,713448108,PEP ,"18,114,576","3,225,300,256.80",2.159,PepsiCo Inc,Common Stock,Consumer Staples,01/11/2023
QQQ,11135F101,AVGO ,"5,325,073","3,078,637,704.22",2.061,Broadcom Inc,Common Stock,Information Technology,01/11/2023
QQQ,22160K105,COST ,"5,819,477","2,818,430,905.87",1.887,Costco Wholesale Corp,Common Stock,Consumer Staples,01/11/2023
QQQ,17275R102,CSCO ,"54,014,597","2,658,058,318.37",1.780,Cisco Systems Inc,Common Stock,Information Technology,01/11/2023
QQQ,872590104,TMUS ,"16,358,554","2,434,152,835.20",1.630,T-Mobile US Inc,Common Stock,Communication Services,01/11/2023
QQQ,20030N101,CMCSA ,"56,721,370","2,152,575,991.50",1.441,Comcast Corp,Common Stock,Communication Services,01/11/2023
QQQ,882508104,TXN ,"11,933,049","2,134,464,474.63",1.429,Texas Instruments Inc,Common Stock,Information Technology,01/11/2023
QQQ,00724F101,ADBE ,"6,112,671","2,096,218,266.03",1.403,Adobe Inc,Common Stock,Information Technology,01/11/2023
QQQ,64110L106,NFLX ,"5,851,239","1,914,876,475.14",1.282,Netflix Inc,Common Stock,Communication Services,01/11/2023
QQQ,031162100,AMGN ,"7,015,675","1,914,647,864.25",1.282,Amgen Inc,Common Stock,Health Care,01/11/2023
QQQ,438516106,HON ,"8,839,890","1,876,708,647.00",1.256,Honeywell International Inc,Common Stock,Industrials,01/11/2023
QQQ,747525103,QCOM ,"14,739,202","1,744,974,124.78",1.168,QUALCOMM Inc,Common Stock,Information Technology,01/11/2023
QQQ,458140100,INTC ,"54,263,075","1,619,752,788.75",1.084,Intel Corp,Common Stock,Information Technology,01/11/2023
QQQ,855244109,SBUX ,"15,091,665","1,604,243,989.50",1.074,Starbucks Corp,Common Stock,Consumer Discretionary,01/11/2023
QQQ,007903107,AMD ,"21,199,781","1,464,056,875.86",0.980,Advanced Micro Devices Inc,Common Stock,Information Technology,01/11/2023
QQQ,461202103,INTU ,"3,693,745","1,460,174,335.95",0.978,Intuit Inc,Common Stock,Information Technology,01/11/2023
QQQ,375558103,GILD ,"16,491,120","1,437,860,752.80",0.963,Gilead Sciences Inc,Common Stock,Health Care,01/11/2023
QQQ,053015103,ADP ,"5,454,273","1,336,569,598.65",0.895,Automatic Data Processing Inc,Common Stock,Information Technology,01/11/2023
QQQ,038222105,AMAT ,"11,311,671","1,244,962,510.26",0.833,Applied Materials Inc,Common Stock,Information Technology,01/11/2023
QQQ,609207105,MDLZ ,"17,955,429","1,213,248,337.53",0.812,Mondelez International Inc,Common Stock,Consumer Staples,01/11/2023
QQQ,46120E602,ISRG ,"4,646,385","1,207,874,244.60",0.809,Intuitive Surgical Inc,Common Stock,Health Care,01/11/2023
QQQ,70450Y103,PYPL ,"14,989,466","1,177,272,659.64",0.788,PayPal Holdings Inc,Common Stock,Information Technology,01/11/2023
QQQ,032654105,ADI ,"6,696,446","1,136,989,566.34",0.761,Analog Devices Inc,Common Stock,Information Technology,01/11/2023
QQQ,09857L108,BKNG ,"510,083","1,134,837,759.23",0.760,Booking Holdings Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,75886F107,REGN ,"1,407,947","999,557,893.18",0.669,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,01/11/2023
QQQ,92532F100,VRTX ,"3,375,006","986,345,503.50",0.660,Vertex Pharmaceuticals Inc,Common Stock,Health Care,01/11/2023
QQQ,60770K107,MRNA ,"5,051,367","942,787,136.88",0.631,Moderna Inc,Common Stock,Health Care,01/11/2023
QQQ,126408103,CSX ,"27,643,124","897,019,373.80",0.601,CSX Corp,Common Stock,Industrials,01/11/2023
