Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,594918104,MSFT ,"73,294,191","17,606,730,562.02",11.875,Microsoft Corp,Common Stock,Information Technology,01/20/2023
QQQ,037833100,AAPL ,"126,327,891","17,416,826,332.17",11.746,Apple Inc,Common Stock,Information Technology,01/20/2023
QQQ,023135106,AMZN ,"100,723,995","9,795,408,513.75",6.606,Amazon.com Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,02079K107,GOOG ,"60,088,918","5,965,627,779.04",4.023,Alphabet Inc,Common Stock,Communication Services,01/20/2023
QQQ,02079K305,GOOGL ,"60,107,233","5,891,710,978.66",3.974,Alphabet Inc,Common Stock,Communication Services,01/20/2023
QQQ,67066G104,NVDA ,"31,509,135","5,620,914,592.65",3.791,NVIDIA Corp,Common Stock,Information Technology,01/20/2023
QQQ,88160R101,TSLA ,"31,177,461","4,159,696,846.62",2.805,Tesla Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,30303M102,META ,"28,802,328","4,014,180,453.36",2.707,Meta Platforms Inc,Common Stock,Communication Services,01/20/2023
QQQ,713448108,PEP ,"17,646,702","2,997,821,735.76",2.022,PepsiCo Inc,Common Stock,Consumer Staples,01/20/2023
QQQ,11135F101,AVGO ,"5,187,463","2,960,900,131.14",1.997,Broadcom Inc,Common Stock,Information Technology,01/20/2023
QQQ,22160K105,COST ,"5,669,079","2,721,781,518.69",1.836,Costco Wholesale Corp,Common Stock,Consumer Staples,01/20/2023
QQQ,17275R102,CSCO ,"52,619,097","2,461,521,357.66",1.660,Cisco Systems Inc,Common Stock,Information Technology,01/20/2023
QQQ,872590104,TMUS ,"15,935,994","2,312,631,449.28",1.560,T-Mobile US Inc,Common Stock,Communication Services,01/20/2023
QQQ,20030N101,CMCSA ,"55,256,032","2,175,429,979.84",1.467,Comcast Corp,Common Stock,Communication Services,01/20/2023
QQQ,00724F101,ADBE ,"5,954,767","2,122,159,863.46",1.431,Adobe Inc,Common Stock,Information Technology,01/20/2023
QQQ,882508104,TXN ,"11,624,747","2,011,081,231.00",1.356,Texas Instruments Inc,Common Stock,Information Technology,01/20/2023
QQQ,64110L106,NFLX ,"5,700,007","1,952,252,397.50",1.317,Netflix Inc,Common Stock,Communication Services,01/20/2023
QQQ,031162100,AMGN ,"6,834,419","1,799,092,457.56",1.213,Amgen Inc,Common Stock,Health Care,01/20/2023
QQQ,747525103,QCOM ,"14,358,342","1,764,640,231.80",1.190,QUALCOMM Inc,Common Stock,Information Technology,01/20/2023
QQQ,438516106,HON ,"8,611,652","1,739,812,053.56",1.173,Honeywell International Inc,Common Stock,Industrials,01/20/2023
QQQ,458140100,INTC ,"52,861,181","1,544,603,708.82",1.042,Intel Corp,Common Stock,Information Technology,01/20/2023
QQQ,855244109,SBUX ,"14,701,909","1,544,288,521.36",1.042,Starbucks Corp,Common Stock,Consumer Discretionary,01/20/2023
QQQ,007903107,AMD ,"20,652,121","1,447,094,118.47",0.976,Advanced Micro Devices Inc,Common Stock,Information Technology,01/20/2023
QQQ,461202103,INTU ,"3,598,391","1,432,411,505.37",0.966,Intuit Inc,Common Stock,Information Technology,01/20/2023
QQQ,375558103,GILD ,"16,065,006","1,333,556,148.06",0.899,Gilead Sciences Inc,Common Stock,Health Care,01/20/2023
QQQ,053015103,ADP ,"5,313,327","1,260,161,764.59",0.850,Automatic Data Processing Inc,Common Stock,Information Technology,01/20/2023
QQQ,038222105,AMAT ,"11,019,493","1,208,287,407.45",0.815,Applied Materials Inc,Common Stock,Information Technology,01/20/2023
QQQ,09857L108,BKNG ,"497,017","1,165,151,982.93",0.786,Booking Holdings Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,46120E602,ISRG ,"4,526,289","1,162,215,226.53",0.784,Intuitive Surgical Inc,Common Stock,Health Care,01/20/2023
QQQ,70450Y103,PYPL ,"14,602,212","1,154,888,947.08",0.779,PayPal Holdings Inc,Common Stock,Information Technology,01/20/2023
QQQ,609207105,MDLZ ,"17,491,447","1,120,152,265.88",0.755,Mondelez International Inc,Common Stock,Consumer Staples,01/20/2023
QQQ,032654105,ADI ,"6,523,530","1,077,491,450.10",0.727,Analog Devices Inc,Common Stock,Information Technology,01/20/2023
